,Species,Steelhead,,Chinook or Steelhead,,,,,,,,,,,,,,,,,,,,
,Number of Sites (K),2,,,,,,,,,,,,,,,,,,,,,,
,Number of Input Files,1,,,,,,,,,,,,,,,,,,,,,,
,Number of Land Use Classes (Q),1,,Maximum used over all sites,,,,,,,,,,,,,,,,,,,,
,Number of Habitat Types (J),3,,Not Including Spawning Grave,,,,,,,,,,,,,,,,,,,,
,Number of Time Steps (Years) simulation (T),100,,,,,,,,,,,,,,,,,,,,,,
,Number of MonteCarlo Simulations ®,100,,Note:  Run-Run Stochasticity Included for # simulations > 1,,,,,,,,,,,,,,,,,,,,
,MC1,1,,1=run to run stochasticity for Table 2.3 and carrying capacity (2.4),,,,,,,,,,,,,,,,,,,,
,MC2,1,,1=run to run stochasticity for productivity scalars,,,,,,,,,,,,,,,,,,,,
,MC3,1,,1=run to runstochasticity for life history parameters (survival by life stage),,,,,,,,,,,,,,,,,,,,alpha.r
,MC4,1,,"1=temporal, spatial, and within site variability included w/ MC1, MC2, and MC3 selections.  ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Input File Times,1,,,,,,,,,,,,,,,,,,,,,
Site #,Site Name,Initial Values File Name,Input File Names,,,,,,,,,,,,,,,,,,,,,
1,Upper mainstem Lemhi,new_inits.csv,new_input_file.csv,,,,,,,,,,,,,,,,,,,,,
2,Lower mainstem Lemhi,new_inits.csv,new_input_file.csv,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,All Sites,Cross Site Mig. Matrix File Name(s),Cross_Site_Migration_T1.csv,,,,,,,,,,,,,,,,,,,,,
